model,brand,price,processor.brand,imageURL
Dell Pro 9,Microsoft,1000,Intel,https://p3-ofp.static.pub//fes/cms/2024/05/20/vr1ibpj08p4hes6j5zym7gd2q4yyk9886452.png
Surface Pro 9,Microsoft,2000,Intel,https://p3-ofp.static.pub//fes/cms/2024/05/20/vr1ibpj08p4hes6j5zym7gd2q4yyk9886452.png
Surface Pro 9,Microsoft,999,Intel,https://p3-ofp.static.pub//fes/cms/2024/05/20/vr1ibpj08p4hes6j5zym7gd2q4yyk9886452.png
Surface Pro 9,Microsoft,999,Intel,https://p3-ofp.static.pub//fes/cms/2024/05/20/vr1ibpj08p4hes6j5zym7gd2q4yyk9886452.png
Surface Pro 9,Microsoft,999,Intel,https://p3-ofp.static.pub//fes/cms/2024/05/20/vr1ibpj08p4hes6j5zym7gd2q4yyk9886452.png
Surface Pro 9,Microsoft,999,Intel,https://p3-ofp.static.pub//fes/cms/2024/05/20/vr1ibpj08p4hes6j5zym7gd2q4yyk9886452.png
Surface Pro 9,Microsoft,999,Intel,https://p3-ofp.static.pub//fes/cms/2024/05/20/vr1ibpj08p4hes6j5zym7gd2q4yyk9886452.png
Surface Pro 9,Microsoft,999,Intel,https://p3-ofp.static.pub//fes/cms/2024/05/20/vr1ibpj08p4hes6j5zym7gd2q4yyk9886452.png
Surface Pro 9,Microsoft,999,Intel,https://p3-ofp.static.pub//fes/cms/2024/05/20/vr1ibpj08p4hes6j5zym7gd2q4yyk9886452.png
Surface Pro 9,Microsoft,999,Intel,https://p3-ofp.static.pub//fes/cms/2024/05/20/vr1ibpj08p4hes6j5zym7gd2q4yyk9886452.png
Surface Pro 9,Microsoft,999,Intel,https://p3-ofp.static.pub//fes/cms/2024/05/20/vr1ibpj08p4hes6j5zym7gd2q4yyk9886452.png
Surface Pro 9,Microsoft,999,Intel,https://p3-ofp.static.pub//fes/cms/2024/05/20/vr1ibpj08p4hes6j5zym7gd2q4yyk9886452.png
Surface Pro 9,Microsoft,999,Intel,https://p3-ofp.static.pub//fes/cms/2024/05/20/vr1ibpj08p4hes6j5zym7gd2q4yyk9886452.png
Surface Pro 9,Microsoft,999,Intel,https://p3-ofp.static.pub//fes/cms/2024/05/20/vr1ibpj08p4hes6j5zym7gd2q4yyk9886452.png
Surface Pro 9,Microsoft,999,Intel,https://p3-ofp.static.pub//fes/cms/2024/05/20/vr1ibpj08p4hes6j5zym7gd2q4yyk9886452.png
Surface Pro 9,Microsoft,999,Intel,https://p3-ofp.static.pub//fes/cms/2024/05/20/vr1ibpj08p4hes6j5zym7gd2q4yyk9886452.png
Surface Pro 9,Microsoft,999,Intel,https://p3-ofp.static.pub//fes/cms/2024/05/20/vr1ibpj08p4hes6j5zym7gd2q4yyk9886452.png
Surface Pro 9,Microsoft,999,Intel,https://p3-ofp.static.pub//fes/cms/2024/05/20/vr1ibpj08p4hes6j5zym7gd2q4yyk9886452.png
Surface Pro 9,Microsoft,999,Intel,https://p3-ofp.static.pub//fes/cms/2024/05/20/vr1ibpj08p4hes6j5zym7gd2q4yyk9886452.png
Surface Pro 9,Microsoft,999,Intel,https://p3-ofp.static.pub//fes/cms/2024/05/20/vr1ibpj08p4hes6j5zym7gd2q4yyk9886452.png
Surface Pro 9,Microsoft,999,Intel,https://p3-ofp.static.pub//fes/cms/2024/05/20/vr1ibpj08p4hes6j5zym7gd2q4yyk9886452.png
Surface Pro 9,Microsoft,999,Intel,https://p3-ofp.static.pub//fes/cms/2024/05/20/vr1ibpj08p4hes6j5zym7gd2q4yyk9886452.png
Surface Pro 9,Microsoft,999,Intel,https://p3-ofp.static.pub//fes/cms/2024/05/20/vr1ibpj08p4hes6j5zym7gd2q4yyk9886452.png
Surface Pro 9,Microsoft,999,Intel,https://p3-ofp.static.pub//fes/cms/2024/05/20/vr1ibpj08p4hes6j5zym7gd2q4yyk9886452.png
Surface Pro 9,Microsoft,999,Intel,https://p3-ofp.static.pub//fes/cms/2024/05/20/vr1ibpj08p4hes6j5zym7gd2q4yyk9886452.png
Surface Pro 9,Microsoft,999,Intel,https://p3-ofp.static.pub//fes/cms/2024/05/20/vr1ibpj08p4hes6j5zym7gd2q4yyk9886452.png
Surface Pro 9,Microsoft,999,Intel,https://p3-ofp.static.pub//fes/cms/2024/05/20/vr1ibpj08p4hes6j5zym7gd2q4yyk9886452.png
Surface Pro 9,Microsoft,999,Intel,https://p3-ofp.static.pub//fes/cms/2024/05/20/vr1ibpj08p4hes6j5zym7gd2q4yyk9886452.png
Surface Pro 9,Microsoft,999,Intel,https://p3-ofp.static.pub//fes/cms/2024/05/20/vr1ibpj08p4hes6j5zym7gd2q4yyk9886452.png
